,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
222,0.001,risky_0.1,4,1.1401747362126944,0.0,618.3321315130454
223,0.001,risky_0.0,4,1.146535893408647,0.0,614.5706394146806
224,0.001,risky_1.0,4,1.1319740136206409,0.0,624.8054535460902
225,0.001,simple,5,1.1478394455270342,0.0,615.0993839563378
226,0.001,robust,5,1.8798728610793654,0.0,324.4787614250088
227,0.001,risky_0.1,5,1.1431627032371316,0.0,616.1120588028147
228,0.001,risky_0.0,5,1.145608500198004,0.0,615.4181323933032
229,0.001,risky_1.0,5,1.1411025804667516,0.0,621.0261261447297
230,0.001,simple,6,1.1537153639120419,0.0,612.0062352858439
231,0.001,robust,6,1.8588576622963873,0.0,325.4823042526105
232,0.001,risky_0.1,6,1.1436403438203884,0.0,619.6026709446005
233,0.001,risky_0.0,6,1.1524052719467583,0.0,613.2652845823511
234,0.001,risky_1.0,6,1.1548035156591823,0.0,619.0574219309585
235,0.001,simple,7,1.149051560702445,0.0,611.8838290753464
236,0.001,robust,7,1.8685179504950598,0.0,324.92796036453865
237,0.001,risky_0.1,7,1.1424298423793229,0.0,619.4444909454288
238,0.001,risky_0.0,7,1.1543255326011739,0.0,613.1448685627121
239,0.001,risky_1.0,7,1.146482642815126,0.0,615.5269839748682
240,0.001,simple,8,1.1512005038799058,0.0,610.2549177218937
241,0.001,robust,8,1.882622126103891,0.0,325.43854423742
242,0.001,risky_0.1,8,1.136255519619609,0.0,617.2045215865786
243,0.001,risky_0.0,8,1.148202947495004,0.0,611.2619514421793
244,0.001,risky_1.0,8,1.1455872213821234,0.0,615.6233168661336
245,0.001,simple,9,1.14920067157317,0.0,611.795813888208
246,0.001,robust,9,1.8732896828497536,0.0,324.6788613755283
247,0.001,risky_0.1,9,1.1443589740070996,0.0,618.8272501484491
248,0.001,risky_0.0,9,1.1480760006393962,0.0,614.3783111528918
249,0.001,risky_1.0,9,1.1358742703958669,0.0,620.2294514702762
250,0.0005,simple,0,1.1591061994505907,0.0,611.5083748888691
251,0.0005,robust,0,1.5733935497984743,0.0,386.9033146042851
252,0.0005,risky_0.1,0,1.1441944367792138,0.0,615.4247985011953
253,0.0005,risky_0.0,0,1.1622108981248893,0.0,611.9987953160511
254,0.0005,risky_1.0,0,1.1520469213880835,0.0,617.2519673724465
255,0.0005,simple,1,1.1557403689321015,0.0,607.9278065531798
256,0.0005,robust,1,1.5771915038827753,0.0,386.49807284687074
257,0.0005,risky_0.1,1,1.1436950358557751,0.0,614.8663820518753
258,0.0005,risky_0.0,1,1.1569242975524812,0.0,608.4431973352619
259,0.0005,risky_1.0,1,1.1519494979691587,0.0,613.2795425778384
260,0.0005,simple,2,1.1597680153382346,0.0,606.97088729435
261,0.0005,robust,2,1.5760113904337048,0.0,388.0457181955451
262,0.0005,risky_0.1,2,1.1502621934150827,0.0,613.1906424086576
263,0.0005,risky_0.0,2,1.1572329738348885,0.0,607.4011266259093
